facility_id,measure_id,value,footnote,start_date,end_date
30065,MSPB-1,1.042658,,01/01/2024,12/31/2024
30069,MSPB-1,0.952761,,01/01/2024,12/31/2024
30071,MSPB-1,0.719499,,01/01/2024,12/31/2024
30073,MSPB-1,0.794793,,01/01/2024,12/31/2024
30074,MSPB-1,,1.0,01/01/2024,12/31/2024
30078,MSPB-1,0.829569,,01/01/2024,12/31/2024
30083,MSPB-1,0.966749,,01/01/2024,12/31/2024
30084,MSPB-1,0.624033,,01/01/2024,12/31/2024
30085,MSPB-1,1.011904,,01/01/2024,12/31/2024
30087,MSPB-1,0.990084,,01/01/2024,12/31/2024
30088,MSPB-1,1.007676,,01/01/2024,12/31/2024
30089,MSPB-1,1.048839,,01/01/2024,12/31/2024
30092,MSPB-1,1.021009,,01/01/2024,12/31/2024
30093,MSPB-1,0.962239,,01/01/2024,12/31/2024
30094,MSPB-1,1.019812,,01/01/2024,12/31/2024
30101,MSPB-1,0.901289,,01/01/2024,12/31/2024
30103,MSPB-1,0.936661,,01/01/2024,12/31/2024
30105,MSPB-1,1.003892,,01/01/2024,12/31/2024
30107,MSPB-1,0.848901,,01/01/2024,12/31/2024
30108,MSPB-1,0.957479,,01/01/2024,12/31/2024
30110,MSPB-1,1.019896,,01/01/2024,12/31/2024
30111,MSPB-1,0.94324,,01/01/2024,12/31/2024
30112,MSPB-1,0.953431,,01/01/2024,12/31/2024
30113,MSPB-1,0.711699,,01/01/2024,12/31/2024
30114,MSPB-1,0.953548,,01/01/2024,12/31/2024
30115,MSPB-1,0.972725,,01/01/2024,12/31/2024
30117,MSPB-1,0.856544,,01/01/2024,12/31/2024
30119,MSPB-1,1.030456,,01/01/2024,12/31/2024
30121,MSPB-1,0.96477,,01/01/2024,12/31/2024
30122,MSPB-1,0.9935,,01/01/2024,12/31/2024
30123,MSPB-1,0.944333,,01/01/2024,12/31/2024
30130,MSPB-1,0.905759,,01/01/2024,12/31/2024
30134,MSPB-1,0.775641,,01/01/2024,12/31/2024
30136,MSPB-1,0.838069,,01/01/2024,12/31/2024
30138,MSPB-1,1.089637,,01/01/2024,12/31/2024
30139,MSPB-1,0.936676,,01/01/2024,12/31/2024
30146,MSPB-1,0.958216,,01/01/2024,12/31/2024
30147,MSPB-1,1.000416,,01/01/2024,12/31/2024
30148,MSPB-1,0.910263,,01/01/2024,12/31/2024
30152,MSPB-1,0.735891,,01/01/2024,12/31/2024
30153,MSPB-1,,1.0,01/01/2024,12/31/2024
30154,MSPB-1,0.982504,,01/01/2024,12/31/2024
30155,MSPB-1,,1.0,01/01/2024,12/31/2024
40001,MSPB-1,0.930834,,01/01/2024,12/31/2024
40002,MSPB-1,1.124833,,01/01/2024,12/31/2024
40004,MSPB-1,1.035397,,01/01/2024,12/31/2024
40007,MSPB-1,1.061998,,01/01/2024,12/31/2024
40010,MSPB-1,1.022445,,01/01/2024,12/31/2024
40011,MSPB-1,0.8456,,01/01/2024,12/31/2024
40014,MSPB-1,1.042834,,01/01/2024,12/31/2024
40016,MSPB-1,0.982018,,01/01/2024,12/31/2024
40017,MSPB-1,1.025115,,01/01/2024,12/31/2024
40018,MSPB-1,,1.0,01/01/2024,12/31/2024
40019,MSPB-1,0.969501,,01/01/2024,12/31/2024
40020,MSPB-1,1.057786,,01/01/2024,12/31/2024
40022,MSPB-1,1.006779,,01/01/2024,12/31/2024
